iso,nodetype,node,curve,year,error
ercot,node,SSPURT_WIND1,fmm,2017,Error: Bad frequency in data
ercot,node,WHCCS_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,WND_WHITNEY,fmm,2017,Error: Bad frequency in data
ercot,node,BUFF_GAP_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,DC_E,fmm,2017,Error: Bad frequency in data
ercot,node,EXN_4,fmm,2017,Error: Bad frequency in data
ercot,node,FERMI_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,INGLCO_PUN1,fmm,2017,Error: Bad frequency in data
ercot,node,INGLCO_PUN2,fmm,2017,Error: Bad frequency in data
ercot,node,LGE_PUN1,fmm,2017,Error: Bad frequency in data
ercot,node,LZ_HOUSTON,fmm,2017,Error: Bad frequency in data
ercot,node,LZ_HOUSTON,fmm,2019,Error: Bad frequency in data
ercot,node,LZ_HOUSTON,fmm,2022,Error: Bad frequency in data
ercot,node,PANDA_T1_ST1,fmm,2017,Error: Bad frequency in data
ercot,node,PB2SES_CT3,fmm,2017,Error: Bad frequency in data
ercot,node,PC_NORTH_1,fmm,2017,Error: Bad frequency in data
ercot,node,PH2_U1_U2,fmm,2017,Error: Bad frequency in data
ercot,node,RAYBURN_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,SDSES_UNIT4,fmm,2017,Error: Bad frequency in data
ercot,node,SIL_SILAS_5,fmm,2017,Error: Bad frequency in data
ercot,node,DOW_G66_ST65,fmm,2017,Error: Bad frequency in data
ercot,node,JCKCNTY2_ST2,fmm,2017,Error: Bad frequency in data
ercot,node,CTL_PUN1,fmm,2017,Error: Bad frequency in data
ercot,node,PR_PR_G2,fmm,2017,Error: Bad frequency in data
ercot,node,PSA_PUN3,fmm,2017,Error: Bad frequency in data
ercot,node,MLSES_UNIT2,fmm,2017,Error: Bad frequency in data
ercot,node,LZ_CPS,fmm,2017,Error: Bad frequency in data
ercot,node,LZ_CPS,fmm,2019,Error: Bad frequency in data
ercot,node,LZ_CPS,fmm,2022,Error: Bad frequency in data
ercot,node,PANDA_T1_CT2,fmm,2017,Error: Bad frequency in data
ercot,node,IN_INDNENR,fmm,2017,Error: Bad frequency in data
ercot,node,CCEC_PUN2,fmm,2017,Error: Bad frequency in data
ercot,node,CHE_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,GOA_GOATWIND,fmm,2017,Error: Bad frequency in data
ercot,node,LEG_LEG_G1,fmm,2017,Error: Bad frequency in data
ercot,node,MCDLD_FCSBW1,fmm,2017,Error: Bad frequency in data
ercot,node,MDANP_CT1_2,fmm,2017,Error: Bad frequency in data
ercot,node,REDFISH_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,ROUTE66_RN,fmm,2017,Error: Bad frequency in data
